Marca de Tiempo,Uso de Memoria(%)
16:05:39,73.9
16:05:40,72.9
16:05:41,73.2
16:05:42,73.3
16:05:43,73.4
16:05:44,73.1
16:05:45,73.2
16:05:46,73.2
16:05:47,73.2
16:05:48,73.2
16:05:49,73.3
16:05:50,72.9
16:05:51,72.9
16:05:52,72.9
16:05:53,72.9
16:05:54,72.9
16:05:55,72.9
16:05:56,72.9
16:05:57,72.9
16:05:58,72.9
16:05:59,73.2
16:06:00,72.7
16:06:01,72.7
16:06:02,72.7
16:06:03,72.7
16:06:04,72.7
16:06:05,72.8
16:06:06,72.8
16:06:07,72.8
16:06:08,72.8
16:06:09,72.6
16:06:10,72.4
16:06:11,72.4
16:06:12,72.4
16:06:13,72.5
16:06:14,72.4
16:06:15,72.5
16:06:17,72.5
16:06:18,72.5
16:06:19,72.3
16:06:20,72.3
16:06:21,72.3
16:06:22,72.3
16:06:23,72.3
16:06:24,72.3
16:06:25,72.3
16:06:26,72.3
16:06:27,72.4
16:06:28,72.4
16:06:29,72.4
16:06:30,72.4
16:06:31,72.4
16:06:32,72.4
16:06:33,72.4
16:06:34,72.4
16:06:35,72.3
16:06:36,72.4
16:06:37,72.4
16:06:38,72.4
16:06:39,72.4
16:06:40,72.4
16:06:41,72.5
16:06:42,72.4
16:06:43,72.4
16:06:44,72.4
16:06:45,72.5
16:06:46,72.5
16:06:47,72.5
16:06:48,72.5
16:06:49,72.5
16:06:50,72.5
16:06:51,72.5
16:06:52,72.6
16:06:53,72.6
16:06:54,72.3
16:06:55,72.3
16:06:56,72.3
16:06:57,72.3
16:06:58,72.3
16:06:59,72.3
16:07:00,72.4
16:07:01,72.4
16:07:02,72.4
16:07:03,72.4
16:07:04,72.4
16:07:05,72.5
16:07:06,72.5
16:07:07,72.5
16:07:08,72.5
16:07:09,72.5
16:07:10,72.5
16:07:11,72.5
16:07:12,72.5
16:07:13,72.5
16:07:14,72.6
16:07:15,72.6
16:07:16,72.6
16:07:17,72.6
16:07:18,72.6
16:07:19,72.6
16:07:20,72.6
16:07:21,72.6
16:07:22,72.6
16:07:23,72.7
16:07:24,72.7
16:07:25,72.7
16:07:26,72.7
16:07:27,72.7
16:07:28,72.5
16:07:29,72.5
16:07:30,72.6
16:07:31,72.6
16:07:32,72.6
16:07:33,72.6
16:07:34,72.6
16:07:35,72.6
16:07:36,72.6
16:07:37,72.6
16:07:38,72.6
16:07:39,72.7
16:07:40,72.7
16:07:41,72.7
16:07:42,72.7
16:07:43,72.7
16:07:44,72.7
16:07:45,72.8
16:07:46,72.8
16:07:47,72.8
16:07:48,72.8
16:07:49,72.8
16:07:50,72.8
16:07:51,72.4
16:07:52,72.4
16:07:53,72.4
16:07:54,72.5
16:07:55,72.5
16:07:56,72.5
16:07:57,72.5
16:07:58,72.5
16:07:59,72.5
16:08:00,72.5
16:08:01,72.5
16:08:02,72.5
16:08:03,72.5
16:08:04,72.5
16:08:05,72.5
16:08:06,72.4
16:08:07,72.5
16:08:08,72.5
16:08:09,72.5
16:08:10,72.5
16:08:11,72.6
16:08:12,72.6
16:08:13,72.6
16:08:14,72.7
16:08:16,72.7
16:08:17,72.7
16:08:18,72.7
16:08:19,72.7
16:08:20,72.4
16:08:21,72.4
16:08:22,72.4
16:08:23,72.4
16:08:24,72.4
16:08:25,72.4
16:08:26,72.4
16:08:27,72.4
16:08:28,72.4
16:08:29,72.4
16:08:30,72.4
16:08:31,72.4
16:08:32,72.5
16:08:33,72.5
16:08:34,72.3
16:08:35,72.4
16:08:36,72.4
16:08:37,72.4
16:08:38,72.4
16:08:39,72.4
16:08:40,72.5
16:08:41,72.5
16:08:42,72.5
16:08:43,72.5
16:08:44,72.5
16:08:45,72.6
16:08:46,72.6
16:08:47,72.6
16:08:48,72.6
16:08:49,72.6
16:08:50,72.6
16:08:51,72.6
16:08:52,72.6
16:08:53,72.6
16:08:54,72.6
16:08:55,72.6
16:08:56,72.6
16:08:57,72.7
16:08:58,72.7
16:08:59,72.7
16:09:00,72.7
16:09:01,72.5
16:09:02,72.5
16:09:03,72.6
16:09:04,72.3
16:09:05,72.3
16:09:06,72.3
16:09:07,72.3
16:09:08,72.3
16:09:09,72.3
16:09:10,72.3
16:09:11,72.3
16:09:12,72.3
16:09:13,72.3
16:09:14,72.3
16:09:15,72.3
16:09:16,72.4
16:09:17,72.4
16:09:18,72.4
16:09:19,72.4
16:09:20,72.4
16:09:21,72.4
16:09:22,72.4
16:09:23,72.4
16:09:24,72.5
16:09:25,72.5
16:09:26,72.5
16:09:27,72.4
16:09:28,72.5
16:09:29,72.5
16:09:30,72.5
16:09:31,72.5
16:09:32,72.5
16:09:33,72.5
16:09:34,72.6
16:09:35,72.6
16:09:36,72.6
16:09:37,72.6
16:09:38,72.6
16:09:39,72.3
16:09:40,72.4
16:09:41,72.4
16:09:42,72.4
16:09:43,72.4
16:09:44,72.4
16:09:45,72.4
16:09:46,72.5
16:09:47,72.3
16:09:48,72.3
16:09:49,72.3
16:09:50,72.3
16:09:51,72.3
16:09:52,72.3
16:09:53,72.3
16:09:54,72.3
16:09:55,72.4
16:09:56,72.4
16:09:57,72.4
16:09:58,72.4
16:09:59,72.4
16:10:00,72.4
16:10:01,72.4
16:10:02,72.4
16:10:03,72.4
16:10:04,72.4
16:10:05,72.4
16:10:06,72.5
16:10:07,72.5
16:10:08,72.5
16:10:09,72.5
16:10:10,72.5
16:10:11,72.5
16:10:12,72.5
16:10:13,72.2
16:10:14,72.2
16:10:16,72.2
16:10:17,72.2
16:10:18,72.2
16:10:19,72.2
16:10:20,72.2
16:10:21,71.9
16:10:22,71.9
16:10:23,72.0
16:10:24,72.0
16:10:25,72.0
16:10:26,72.0
16:10:27,72.0
16:10:28,72.0
16:10:29,71.9
16:10:30,71.9
16:10:31,71.9
16:10:32,71.9
16:10:33,72.0
16:10:34,72.0
16:10:35,72.0
16:10:36,72.0
16:10:37,72.0
16:10:38,72.0
16:10:39,72.0
